2026-04-05 13:48:19 | DEBUG | signal | ORCAUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | MOVEUSDT: Δ 2.5, cur: 0.1701644923425909, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | KAIAUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | AEROUSDT: Δ 2.5, cur: 0.06487187804086214, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | THEUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | MORPHOUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | CHILLGUYUSDT: Δ 2.5, cur: 0.2525252525252422, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | SCRTUSDT: Δ 2.5, cur: -0.10905125408942516, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | BANUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | AKTUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | HIPPOUSDT: Δ 5.0, cur: -0.920810313075509, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | ACTUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | PNUTUSDT: Δ 2.5, cur: 0.025581990278851528, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | DRIFTUSDT: Δ 2.5, cur: 0.08926578888640564, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | COWUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | CETUSUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | GRASSUSDT: Δ 2.5, cur: -0.036205648081096664, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | SAFEUSDT: Δ 2.5, cur: -0.25252525252525976, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | SANTOSUSDT: Δ 2.5, cur: -0.2949852507374525, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | GOATUSDT: Δ 2.5, cur: -0.06234413965087028, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | MOODENGUSDT: Δ 2.5, cur: -0.06785795068989425, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | SCRUSDT: Δ 2.5, cur: 0.024160425223474565, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | DEEPUSDT: Δ 2.5, cur: 0.03735524841241338, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | EIGENUSDT: Δ 2.5, cur: 0.13386880856760758, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | DIAUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | HMSTRUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | FIOUSDT: Δ 2.5, cur: 0.4926108374384178, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | CATIUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | FIDAUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | POLUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | NEIROUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | MBOXUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | SUNUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | SYNUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | RAREUSDT: Δ 2.5, cur: 0.07022471910113291, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | RENDERUSDT: Δ 2.5, cur: 0.05452562704470501, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | BANANAUSDT: Δ 2.5, cur: -0.030750307503071644, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | ZROUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | LISTAUSDT: Δ 2.5, cur: 0.22271714922048091, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | ZKUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | IOUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | TURBOUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | NOTUSDT: Δ 5.0, cur: -0.02924831822170296, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | PTUSDT: Δ 2.5, cur: 0.0205549845837593, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | BBUSDT: Δ 2.5, cur: -0.12557555462537565, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | BRETTUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | REZUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | MEWUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | MERLUSDT: Δ 5.0, cur: 0.2110595187843032, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | TAOUSDT: Δ 2.5, cur: -0.016844658558774844, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | SAGAUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | TNSRUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | DEGENUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | ENAUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | WUSDT: Δ 2.5, cur: -0.15540015540014906, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | POPCATUSDT: Δ 2.5, cur: 0.0, ttl: 10
